,model,subject,verb,entity,entity_cat,sentence,pll_på,pll_med,pll_null,index_
15,NbAiLab/nb-bert-base,Kim,avsluttet,potet,food,"['Kim avsluttet på poteten.', 'Kim avsluttet med poteten.', 'Kim avsluttet poteten.']",45.749366760253906,33.391361236572266,39.12708282470703,3
16,NbAiLab/nb-bert-base,Kim,begynte,parmesan,food,"['Kim begynte på parmesanen.', 'Kim begynte med parmesanen.', 'Kim begynte parmesanen.']",34.50061798095703,35.09626770019531,45.77092361450195,4
17,NbAiLab/nb-bert-base,Kim,startet,parmesan,food,"['Kim startet på parmesanen.', 'Kim startet med parmesanen.', 'Kim startet parmesanen.']",44.71251678466797,36.05731201171875,48.301719665527344,4
18,NbAiLab/nb-bert-base,Kim,fortsatte,parmesan,food,"['Kim fortsatte på parmesanen.', 'Kim fortsatte med parmesanen.', 'Kim fortsatte parmesanen.']",41.70274353027344,33.69873046875,49.023536682128906,4
19,NbAiLab/nb-bert-base,Kim,avsluttet,parmesan,food,"['Kim avsluttet på parmesanen.', 'Kim avsluttet med parmesanen.', 'Kim avsluttet parmesanen.']",58.68798065185547,44.577423095703125,49.49678421020508,4
20,NbAiLab/nb-bert-base,Kim,begynte,muskat,food,"['Kim begynte på muskaten.', 'Kim begynte med muskaten.', 'Kim begynte muskaten.']",38.898807525634766,38.51979446411133,51.347267150878906,5
21,NbAiLab/nb-bert-base,Kim,startet,muskat,food,"['Kim startet på muskaten.', 'Kim startet med muskaten.', 'Kim startet muskaten.']",44.62272644042969,40.614418029785156,51.28761291503906,5
22,NbAiLab/nb-bert-base,Kim,fortsatte,muskat,food,"['Kim fortsatte på muskaten.', 'Kim fortsatte med muskaten.', 'Kim fortsatte muskaten.']",42.3127555847168,38.35322189331055,49.024024963378906,5
23,NbAiLab/nb-bert-base,Kim,avsluttet,muskat,food,"['Kim avsluttet på muskaten.', 'Kim avsluttet med muskaten.', 'Kim avsluttet muskaten.']",62.07496643066406,52.272029876708984,56.478675842285156,5
24,NbAiLab/nb-bert-base,Kim,begynte,pizza,food,"['Kim begynte på pizzaen.', 'Kim begynte med pizzaen.', 'Kim begynte pizzaen.']",35.0958137512207,37.16550064086914,42.70594024658203,6
25,NbAiLab/nb-bert-base,Kim,startet,pizza,food,"['Kim startet på pizzaen.', 'Kim startet med pizzaen.', 'Kim startet pizzaen.']",40.34054183959961,40.54708480834961,40.465065002441406,6
26,NbAiLab/nb-bert-base,Kim,fortsatte,pizza,food,"['Kim fortsatte på pizzaen.', 'Kim fortsatte med pizzaen.', 'Kim fortsatte pizzaen.']",38.54344940185547,32.3724365234375,44.05967712402344,6
27,NbAiLab/nb-bert-base,Kim,avsluttet,pizza,food,"['Kim avsluttet på pizzaen.', 'Kim avsluttet med pizzaen.', 'Kim avsluttet pizzaen.']",52.351524353027344,44.21979522705078,39.27571105957031,6
28,NbAiLab/nb-bert-base,Kim,begynte,deig,food,"['Kim begynte på deigen.', 'Kim begynte med deigen.', 'Kim begynte deigen.']",31.82880401611328,30.453399658203125,36.92431640625,7
29,NbAiLab/nb-bert-base,Kim,startet,deig,food,"['Kim startet på deigen.', 'Kim startet med deigen.', 'Kim startet deigen.']",36.030235290527344,28.70496368408203,37.9244270324707,7
30,NbAiLab/nb-bert-base,Kim,fortsatte,deig,food,"['Kim fortsatte på deigen.', 'Kim fortsatte med deigen.', 'Kim fortsatte deigen.']",38.07506561279297,25.09992218017578,38.89694595336914,7
31,NbAiLab/nb-bert-base,Kim,avsluttet,deig,food,"['Kim avsluttet på deigen.', 'Kim avsluttet med deigen.', 'Kim avsluttet deigen.']",57.52616882324219,43.70454406738281,48.968509674072266,7
32,NbAiLab/nb-bert-base,Kim,begynte,brød,food,"['Kim begynte på brødet.', 'Kim begynte med brødet.', 'Kim begynte brødet.']",31.237472534179688,28.419198989868164,37.96166229248047,8
33,NbAiLab/nb-bert-base,Kim,startet,brød,food,"['Kim startet på brødet.', 'Kim startet med brødet.', 'Kim startet brødet.']",37.20780944824219,31.577743530273438,32.87398147583008,8
34,NbAiLab/nb-bert-base,Kim,fortsatte,brød,food,"['Kim fortsatte på brødet.', 'Kim fortsatte med brødet.', 'Kim fortsatte brødet.']",36.69140625,25.94426727294922,34.81816482543945,8
35,NbAiLab/nb-bert-base,Kim,avsluttet,brød,food,"['Kim avsluttet på brødet.', 'Kim avsluttet med brødet.', 'Kim avsluttet brødet.']",49.63254165649414,37.78150939941406,37.006038665771484,8
36,NbAiLab/nb-bert-base,Kim,begynte,salat,food,"['Kim begynte på salaten.', 'Kim begynte med salaten.', 'Kim begynte salaten.']",21.80083656311035,18.73668098449707,33.092124938964844,9
37,NbAiLab/nb-bert-base,Kim,startet,salat,food,"['Kim startet på salaten.', 'Kim startet med salaten.', 'Kim startet salaten.']",28.51841163635254,22.414234161376953,34.91738510131836,9
38,NbAiLab/nb-bert-base,Kim,fortsatte,salat,food,"['Kim fortsatte på salaten.', 'Kim fortsatte med salaten.', 'Kim fortsatte salaten.']",30.40473175048828,17.30536460876465,30.490982055664062,9
39,NbAiLab/nb-bert-base,Kim,avsluttet,salat,food,"['Kim avsluttet på salaten.', 'Kim avsluttet med salaten.', 'Kim avsluttet salaten.']",42.73930358886719,25.923004150390625,29.781539916992188,9
40,NbAiLab/nb-bert-base,Kim,begynte,ruccola,food,"['Kim begynte på ruccolaen.', 'Kim begynte med ruccolaen.', 'Kim begynte ruccolaen.']",52.224609375,50.7394905090332,65.10467529296875,10
41,NbAiLab/nb-bert-base,Kim,startet,ruccola,food,"['Kim startet på ruccolaen.', 'Kim startet med ruccolaen.', 'Kim startet ruccolaen.']",54.45457077026367,54.10734939575195,60.35353088378906,10
42,NbAiLab/nb-bert-base,Kim,fortsatte,ruccola,food,"['Kim fortsatte på ruccolaen.', 'Kim fortsatte med ruccolaen.', 'Kim fortsatte ruccolaen.']",55.10601043701172,47.80554962158203,60.5015754699707,10
43,NbAiLab/nb-bert-base,Kim,avsluttet,ruccola,food,"['Kim avsluttet på ruccolaen.', 'Kim avsluttet med ruccolaen.', 'Kim avsluttet ruccolaen.']",70.2685775756836,60.99857711791992,65.23625183105469,10
44,NbAiLab/nb-bert-base,Kim,begynte,paprika,food,"['Kim begynte på paprikaen.', 'Kim begynte med paprikaen.', 'Kim begynte paprikaen.']",53.64588928222656,50.16033935546875,66.9273681640625,11
45,NbAiLab/nb-bert-base,Kim,startet,paprika,food,"['Kim startet på paprikaen.', 'Kim startet med paprikaen.', 'Kim startet paprikaen.']",60.04524230957031,51.59609603881836,63.05840301513672,11
46,NbAiLab/nb-bert-base,Kim,fortsatte,paprika,food,"['Kim fortsatte på paprikaen.', 'Kim fortsatte med paprikaen.', 'Kim fortsatte paprikaen.']",60.107242584228516,47.331260681152344,68.66888427734375,11
47,NbAiLab/nb-bert-base,Kim,avsluttet,paprika,food,"['Kim avsluttet på paprikaen.', 'Kim avsluttet med paprikaen.', 'Kim avsluttet paprikaen.']",79.08409118652344,64.56571197509766,71.34229278564453,11
48,NbAiLab/nb-bert-base,Kim,begynte,sopp,food,"['Kim begynte på soppen.', 'Kim begynte med soppen.', 'Kim begynte soppen.']",25.567903518676758,23.649065017700195,35.569610595703125,12
49,NbAiLab/nb-bert-base,Kim,startet,sopp,food,"['Kim startet på soppen.', 'Kim startet med soppen.', 'Kim startet soppen.']",30.944534301757812,27.29909896850586,35.09640121459961,12
50,NbAiLab/nb-bert-base,Kim,fortsatte,sopp,food,"['Kim fortsatte på soppen.', 'Kim fortsatte med soppen.', 'Kim fortsatte soppen.']",32.023399353027344,23.143545150756836,34.57307815551758,12
51,NbAiLab/nb-bert-base,Kim,avsluttet,sopp,food,"['Kim avsluttet på soppen.', 'Kim avsluttet med soppen.', 'Kim avsluttet soppen.']",45.18057632446289,37.0185661315918,40.25655746459961,12
52,NbAiLab/nb-bert-base,Kim,begynte,trøffel,food,"['Kim begynte på trøffelen.', 'Kim begynte med trøffelen.', 'Kim begynte trøffelen.']",51.310157775878906,45.160438537597656,62.382835388183594,13
53,NbAiLab/nb-bert-base,Kim,startet,trøffel,food,"['Kim startet på trøffelen.', 'Kim startet med trøffelen.', 'Kim startet trøffelen.']",55.107505798339844,48.110321044921875,56.663246154785156,13
54,NbAiLab/nb-bert-base,Kim,fortsatte,trøffel,food,"['Kim fortsatte på trøffelen.', 'Kim fortsatte med trøffelen.', 'Kim fortsatte trøffelen.']",52.49317932128906,41.27727127075195,55.601139068603516,13
55,NbAiLab/nb-bert-base,Kim,avsluttet,trøffel,food,"['Kim avsluttet på trøffelen.', 'Kim avsluttet med trøffelen.', 'Kim avsluttet trøffelen.']",65.55843353271484,51.44886779785156,51.26521682739258,13
56,NbAiLab/nb-bert-base,Kim,begynte,løk,food,"['Kim begynte på løken.', 'Kim begynte med løken.', 'Kim begynte løken.']",32.02491760253906,29.459489822387695,42.87532043457031,14
57,NbAiLab/nb-bert-base,Kim,startet,løk,food,"['Kim startet på løken.', 'Kim startet med løken.', 'Kim startet løken.']",35.61258316040039,31.56136703491211,39.115989685058594,14
58,NbAiLab/nb-bert-base,Kim,fortsatte,løk,food,"['Kim fortsatte på løken.', 'Kim fortsatte med løken.', 'Kim fortsatte løken.']",37.781925201416016,28.226625442504883,42.250335693359375,14
59,NbAiLab/nb-bert-base,Kim,avsluttet,løk,food,"['Kim avsluttet på løken.', 'Kim avsluttet med løken.', 'Kim avsluttet løken.']",52.67589569091797,44.97770690917969,44.61330032348633,14
60,NbAiLab/nb-bert-base,Kim,begynte,papyrus,text,"['Kim begynte på papyrusen.', 'Kim begynte med papyrusen.', 'Kim begynte papyrusen.']",52.12647247314453,53.54901123046875,61.98041534423828,15
61,NbAiLab/nb-bert-base,Kim,startet,papyrus,text,"['Kim startet på papyrusen.', 'Kim startet med papyrusen.', 'Kim startet papyrusen.']",59.92803955078125,57.693328857421875,64.94697570800781,15
62,NbAiLab/nb-bert-base,Kim,fortsatte,papyrus,text,"['Kim fortsatte på papyrusen.', 'Kim fortsatte med papyrusen.', 'Kim fortsatte papyrusen.']",57.25159454345703,49.694580078125,63.06365203857422,15
63,NbAiLab/nb-bert-base,Kim,avsluttet,papyrus,text,"['Kim avsluttet på papyrusen.', 'Kim avsluttet med papyrusen.', 'Kim avsluttet papyrusen.']",72.61611938476562,68.26995849609375,65.7760009765625,15
64,NbAiLab/nb-bert-base,Kim,begynte,pergament,text,"['Kim begynte på pergamentet.', 'Kim begynte med pergamentet.', 'Kim begynte pergamentet.']",31.536327362060547,30.96868896484375,35.8272590637207,16
65,NbAiLab/nb-bert-base,Kim,startet,pergament,text,"['Kim startet på pergamentet.', 'Kim startet med pergamentet.', 'Kim startet pergamentet.']",38.74968338012695,34.88433074951172,41.883949279785156,16
66,NbAiLab/nb-bert-base,Kim,fortsatte,pergament,text,"['Kim fortsatte på pergamentet.', 'Kim fortsatte med pergamentet.', 'Kim fortsatte pergamentet.']",38.05854797363281,32.24321365356445,38.195701599121094,16
67,NbAiLab/nb-bert-base,Kim,avsluttet,pergament,text,"['Kim avsluttet på pergamentet.', 'Kim avsluttet med pergamentet.', 'Kim avsluttet pergamentet.']",41.67685317993164,40.81865692138672,41.021705627441406,16
68,NbAiLab/nb-bert-base,Kim,begynte,essay,text,"['Kim begynte på essayet.', 'Kim begynte med essayet.', 'Kim begynte essayet.']",20.76255226135254,27.399829864501953,28.70429229736328,17
69,NbAiLab/nb-bert-base,Kim,startet,essay,text,"['Kim startet på essayet.', 'Kim startet med essayet.', 'Kim startet essayet.']",29.702259063720703,30.374839782714844,32.40220642089844,17
70,NbAiLab/nb-bert-base,Kim,fortsatte,essay,text,"['Kim fortsatte på essayet.', 'Kim fortsatte med essayet.', 'Kim fortsatte essayet.']",28.491100311279297,19.03372573852539,24.35849380493164,17
71,NbAiLab/nb-bert-base,Kim,avsluttet,essay,text,"['Kim avsluttet på essayet.', 'Kim avsluttet med essayet.', 'Kim avsluttet essayet.']",39.41588592529297,34.657127380371094,23.997058868408203,17
72,NbAiLab/nb-bert-base,Kim,begynte,pamflett,text,"['Kim begynte på pamfletten.', 'Kim begynte med pamfletten.', 'Kim begynte pamfletten.']",62.470794677734375,65.2789306640625,65.3006820678711,18
73,NbAiLab/nb-bert-base,Kim,startet,pamflett,text,"['Kim startet på pamfletten.', 'Kim startet med pamfletten.', 'Kim startet pamfletten.']",67.4954833984375,68.64572143554688,68.67292022705078,18
74,NbAiLab/nb-bert-base,Kim,fortsatte,pamflett,text,"['Kim fortsatte på pamfletten.', 'Kim fortsatte med pamfletten.', 'Kim fortsatte pamfletten.']",63.35382843017578,60.13764190673828,64.45991516113281,18
75,NbAiLab/nb-bert-base,Kim,avsluttet,pamflett,text,"['Kim avsluttet på pamfletten.', 'Kim avsluttet med pamfletten.', 'Kim avsluttet pamfletten.']",75.5845718383789,72.41946411132812,67.89690399169922,18
76,NbAiLab/nb-bert-base,Kim,begynte,manuskript,text,"['Kim begynte på manuskriptet.', 'Kim begynte med manuskriptet.', 'Kim begynte manuskriptet.']",47.09488296508789,50.472843170166016,48.802398681640625,19
77,NbAiLab/nb-bert-base,Kim,startet,manuskript,text,"['Kim startet på manuskriptet.', 'Kim startet med manuskriptet.', 'Kim startet manuskriptet.']",50.08842086791992,53.292724609375,47.65214920043945,19
78,NbAiLab/nb-bert-base,Kim,fortsatte,manuskript,text,"['Kim fortsatte på manuskriptet.', 'Kim fortsatte med manuskriptet.', 'Kim fortsatte manuskriptet.']",51.22183609008789,44.647972106933594,46.83838653564453,19
79,NbAiLab/nb-bert-base,Kim,avsluttet,manuskript,text,"['Kim avsluttet på manuskriptet.', 'Kim avsluttet med manuskriptet.', 'Kim avsluttet manuskriptet.']",61.140541076660156,58.156803131103516,45.65087127685547,19
80,NbAiLab/nb-bert-base,Kim,begynte,testamente,text,"['Kim begynte på testamentet.', 'Kim begynte med testamentet.', 'Kim begynte testamentet.']",25.223670959472656,29.078807830810547,32.44591522216797,20
81,NbAiLab/nb-bert-base,Kim,startet,testamente,text,"['Kim startet på testamentet.', 'Kim startet med testamentet.', 'Kim startet testamentet.']",35.60798263549805,33.342071533203125,33.25300979614258,20
82,NbAiLab/nb-bert-base,Kim,fortsatte,testamente,text,"['Kim fortsatte på testamentet.', 'Kim fortsatte med testamentet.', 'Kim fortsatte testamentet.']",32.32257843017578,23.519031524658203,33.86109161376953,20
83,NbAiLab/nb-bert-base,Kim,avsluttet,testamente,text,"['Kim avsluttet på testamentet.', 'Kim avsluttet med testamentet.', 'Kim avsluttet testamentet.']",45.312713623046875,40.68756103515625,31.051284790039062,20
84,NbAiLab/nb-bert-base,Kim,begynte,prolog,text,"['Kim begynte på prologen.', 'Kim begynte med prologen.', 'Kim begynte prologen.']",30.01209259033203,30.515596389770508,37.466697692871094,21
85,NbAiLab/nb-bert-base,Kim,startet,prolog,text,"['Kim startet på prologen.', 'Kim startet med prologen.', 'Kim startet prologen.']",35.95480728149414,34.794559478759766,37.10319519042969,21
86,NbAiLab/nb-bert-base,Kim,fortsatte,prolog,text,"['Kim fortsatte på prologen.', 'Kim fortsatte med prologen.', 'Kim fortsatte prologen.']",35.05837631225586,29.428733825683594,34.8044548034668,21
87,NbAiLab/nb-bert-base,Kim,avsluttet,prolog,text,"['Kim avsluttet på prologen.', 'Kim avsluttet med prologen.', 'Kim avsluttet prologen.']",43.47544860839844,36.02054977416992,35.709632873535156,21
88,NbAiLab/nb-bert-base,Kim,begynte,epilog,text,"['Kim begynte på epilogen.', 'Kim begynte med epilogen.', 'Kim begynte epilogen.']",23.58881378173828,29.90483856201172,37.55104446411133,22
89,NbAiLab/nb-bert-base,Kim,startet,epilog,text,"['Kim startet på epilogen.', 'Kim startet med epilogen.', 'Kim startet epilogen.']",33.880126953125,33.48335647583008,38.10615921020508,22
90,NbAiLab/nb-bert-base,Kim,fortsatte,epilog,text,"['Kim fortsatte på epilogen.', 'Kim fortsatte med epilogen.', 'Kim fortsatte epilogen.']",31.945552825927734,26.435012817382812,32.55950164794922,22
91,NbAiLab/nb-bert-base,Kim,avsluttet,epilog,text,"['Kim avsluttet på epilogen.', 'Kim avsluttet med epilogen.', 'Kim avsluttet epilogen.']",44.10410690307617,37.20090103149414,31.0888614654541,22
92,NbAiLab/nb-bert-base,Kim,begynte,sonett,text,"['Kim begynte på sonetten.', 'Kim begynte med sonetten.', 'Kim begynte sonetten.']",28.989398956298828,34.41511535644531,36.86729431152344,23
93,NbAiLab/nb-bert-base,Kim,startet,sonett,text,"['Kim startet på sonetten.', 'Kim startet med sonetten.', 'Kim startet sonetten.']",34.274044036865234,38.93614959716797,38.50646209716797,23
94,NbAiLab/nb-bert-base,Kim,fortsatte,sonett,text,"['Kim fortsatte på sonetten.', 'Kim fortsatte med sonetten.', 'Kim fortsatte sonetten.']",29.28225326538086,28.794416427612305,31.923288345336914,23
95,NbAiLab/nb-bert-base,Kim,avsluttet,sonett,text,"['Kim avsluttet på sonetten.', 'Kim avsluttet med sonetten.', 'Kim avsluttet sonetten.']",46.92732238769531,42.21318435668945,34.69823455810547,23
96,NbAiLab/nb-bert-base,Kim,begynte,haiku,text,"['Kim begynte på haikuen.', 'Kim begynte med haikuen.', 'Kim begynte haikuen.']",43.230995178222656,45.23379898071289,48.816680908203125,24
97,NbAiLab/nb-bert-base,Kim,startet,haiku,text,"['Kim startet på haikuen.', 'Kim startet med haikuen.', 'Kim startet haikuen.']",46.16080856323242,48.09048843383789,47.51502990722656,24
98,NbAiLab/nb-bert-base,Kim,fortsatte,haiku,text,"['Kim fortsatte på haikuen.', 'Kim fortsatte med haikuen.', 'Kim fortsatte haikuen.']",46.724510192871094,40.50218200683594,43.4107551574707,24
99,NbAiLab/nb-bert-base,Kim,avsluttet,haiku,text,"['Kim avsluttet på haikuen.', 'Kim avsluttet med haikuen.', 'Kim avsluttet haikuen.']",59.28388214111328,51.904869079589844,47.72678756713867,24
100,NbAiLab/nb-bert-base,Kim,begynte,monografi,text,"['Kim begynte på monografien.', 'Kim begynte med monografien.', 'Kim begynte monografien.']",31.045608520507812,37.10744857788086,36.66578674316406,25
101,NbAiLab/nb-bert-base,Kim,startet,monografi,text,"['Kim startet på monografien.', 'Kim startet med monografien.', 'Kim startet monografien.']",40.840545654296875,43.490055084228516,44.771331787109375,25
102,NbAiLab/nb-bert-base,Kim,fortsatte,monografi,text,"['Kim fortsatte på monografien.', 'Kim fortsatte med monografien.', 'Kim fortsatte monografien.']",37.953216552734375,29.81861686706543,32.91312026977539,25
103,NbAiLab/nb-bert-base,Kim,avsluttet,monografi,text,"['Kim avsluttet på monografien.', 'Kim avsluttet med monografien.', 'Kim avsluttet monografien.']",48.65056228637695,44.83631896972656,32.382320404052734,25
104,NbAiLab/nb-bert-base,Kim,begynte,epigraf,text,"['Kim begynte på epigrafen.', 'Kim begynte med epigrafen.', 'Kim begynte epigrafen.']",30.864364624023438,34.863712310791016,41.98002624511719,26
105,NbAiLab/nb-bert-base,Kim,startet,epigraf,text,"['Kim startet på epigrafen.', 'Kim startet med epigrafen.', 'Kim startet epigrafen.']",37.38845443725586,37.737979888916016,41.232093811035156,26
106,NbAiLab/nb-bert-base,Kim,fortsatte,epigraf,text,"['Kim fortsatte på epigrafen.', 'Kim fortsatte med epigrafen.', 'Kim fortsatte epigrafen.']",35.72373962402344,30.191146850585938,40.761653900146484,26
107,NbAiLab/nb-bert-base,Kim,avsluttet,epigraf,text,"['Kim avsluttet på epigrafen.', 'Kim avsluttet med epigrafen.', 'Kim avsluttet epigrafen.']",49.691200256347656,41.81221008300781,39.256309509277344,26
108,NbAiLab/nb-bert-base,Kim,begynte,manga,text,"['Kim begynte på mangaen.', 'Kim begynte med mangaen.', 'Kim begynte mangaen.']",28.113712310791016,27.352272033691406,41.02381896972656,27
109,NbAiLab/nb-bert-base,Kim,startet,manga,text,"['Kim startet på mangaen.', 'Kim startet med mangaen.', 'Kim startet mangaen.']",34.62868118286133,31.63438606262207,39.74335479736328,27
110,NbAiLab/nb-bert-base,Kim,fortsatte,manga,text,"['Kim fortsatte på mangaen.', 'Kim fortsatte med mangaen.', 'Kim fortsatte mangaen.']",32.98652267456055,26.42951774597168,37.46394729614258,27
111,NbAiLab/nb-bert-base,Kim,avsluttet,manga,text,"['Kim avsluttet på mangaen.', 'Kim avsluttet med mangaen.', 'Kim avsluttet mangaen.']",49.81002426147461,42.806270599365234,43.40542221069336,27
112,NbAiLab/nb-bert-base,Kim,begynte,brosjyre,text,"['Kim begynte på brosjyren.', 'Kim begynte med brosjyren.', 'Kim begynte brosjyren.']",44.539642333984375,47.448394775390625,54.52294158935547,28
113,NbAiLab/nb-bert-base,Kim,startet,brosjyre,text,"['Kim startet på brosjyren.', 'Kim startet med brosjyren.', 'Kim startet brosjyren.']",48.528038024902344,51.765689849853516,50.79010772705078,28
114,NbAiLab/nb-bert-base,Kim,fortsatte,brosjyre,text,"['Kim fortsatte på brosjyren.', 'Kim fortsatte med brosjyren.', 'Kim fortsatte brosjyren.']",48.127410888671875,42.605560302734375,50.85395812988281,28
115,NbAiLab/nb-bert-base,Kim,avsluttet,brosjyre,text,"['Kim avsluttet på brosjyren.', 'Kim avsluttet med brosjyren.', 'Kim avsluttet brosjyren.']",60.013851165771484,51.92711639404297,50.34114074707031,28
116,NbAiLab/nb-bert-base,Kim,begynte,novelle,text,"['Kim begynte på novellen.', 'Kim begynte med novellen.', 'Kim begynte novellen.']",19.298320770263672,26.782264709472656,28.81534194946289,29
117,NbAiLab/nb-bert-base,Kim,startet,novelle,text,"['Kim startet på novellen.', 'Kim startet med novellen.', 'Kim startet novellen.']",28.257936477661133,29.142122268676758,32.8811149597168,29
118,NbAiLab/nb-bert-base,Kim,fortsatte,novelle,text,"['Kim fortsatte på novellen.', 'Kim fortsatte med novellen.', 'Kim fortsatte novellen.']",25.102760314941406,20.23906707763672,26.367887496948242,29
119,NbAiLab/nb-bert-base,Kim,avsluttet,novelle,text,"['Kim avsluttet på novellen.', 'Kim avsluttet med novellen.', 'Kim avsluttet novellen.']",39.08998107910156,32.42816162109375,27.901506423950195,29
120,NbAiLab/nb-bert-base,Kim,begynte,pullover,clothing,"['Kim begynte på pulloveren.', 'Kim begynte med pulloveren.', 'Kim begynte pulloveren.']",40.780025482177734,43.304080963134766,49.53652572631836,30
121,NbAiLab/nb-bert-base,Kim,startet,pullover,clothing,"['Kim startet på pulloveren.', 'Kim startet med pulloveren.', 'Kim startet pulloveren.']",43.707244873046875,46.561805725097656,44.94195556640625,30
122,NbAiLab/nb-bert-base,Kim,fortsatte,pullover,clothing,"['Kim fortsatte på pulloveren.', 'Kim fortsatte med pulloveren.', 'Kim fortsatte pulloveren.']",47.4940185546875,41.877384185791016,50.64115905761719,30
123,NbAiLab/nb-bert-base,Kim,avsluttet,pullover,clothing,"['Kim avsluttet på pulloveren.', 'Kim avsluttet med pulloveren.', 'Kim avsluttet pulloveren.']",54.19968795776367,52.88246154785156,51.432830810546875,30
124,NbAiLab/nb-bert-base,Kim,begynte,jakke,clothing,"['Kim begynte på jakken.', 'Kim begynte med jakken.', 'Kim begynte jakken.']",20.040157318115234,23.060827255249023,26.08993148803711,31
125,NbAiLab/nb-bert-base,Kim,startet,jakke,clothing,"['Kim startet på jakken.', 'Kim startet med jakken.', 'Kim startet jakken.']",24.42841339111328,24.834949493408203,24.359682083129883,31
126,NbAiLab/nb-bert-base,Kim,fortsatte,jakke,clothing,"['Kim fortsatte på jakken.', 'Kim fortsatte med jakken.', 'Kim fortsatte jakken.']",28.666046142578125,20.467504501342773,27.347553253173828,31
127,NbAiLab/nb-bert-base,Kim,avsluttet,jakke,clothing,"['Kim avsluttet på jakken.', 'Kim avsluttet med jakken.', 'Kim avsluttet jakken.']",39.88069152832031,33.680809020996094,28.794723510742188,31
128,NbAiLab/nb-bert-base,Kim,begynte,sokk,clothing,"['Kim begynte på sokken.', 'Kim begynte med sokken.', 'Kim begynte sokken.']",24.045419692993164,26.884260177612305,33.50676727294922,32
129,NbAiLab/nb-bert-base,Kim,startet,sokk,clothing,"['Kim startet på sokken.', 'Kim startet med sokken.', 'Kim startet sokken.']",27.507980346679688,29.2261905670166,33.67789077758789,32
130,NbAiLab/nb-bert-base,Kim,fortsatte,sokk,clothing,"['Kim fortsatte på sokken.', 'Kim fortsatte med sokken.', 'Kim fortsatte sokken.']",29.472871780395508,27.639480590820312,37.131526947021484,32
131,NbAiLab/nb-bert-base,Kim,avsluttet,sokk,clothing,"['Kim avsluttet på sokken.', 'Kim avsluttet med sokken.', 'Kim avsluttet sokken.']",43.84614181518555,39.87921905517578,38.09780502319336,32
